,exp_id,agent_id,env_name,policy_id,exp_seed,num_episodes,time_limit,episode_return_mean,episode_return_std,episode_return_max,episode_return_min,episode_steps_mean,episode_steps_std,episode_time_mean,episode_time_std,num_episode_done,num_LOSS,num_DRAW,num_WIN,num_NA
65,41,1,PursuitEvasion8x8-v0,PursuitEvasion8x8-v0/klr_k4_seed0_i1-v0,0,2,None,-0.0353982300884956,0.0,-0.0353982300884956,-0.0353982300884956,50.0,0.0,0.1283406019210815,0.0016964673995971,2,0,0,0,2
66,1054,0,PursuitEvasion8x8-v0,PursuitEvasion8x8-v0/klr_k4_seed4_i0-v0,0,2,None,0.0486725663716813,0.9247787610619468,0.9734513274336284,-0.8761061946902655,9.0,3.0,0.0310739278793334,0.0100928544998168,2,1,0,1,0
67,1054,1,PursuitEvasion8x8-v0,PursuitEvasion8x8-v0/klr_k3_seed1_i1-v0,0,2,None,-0.0486725663716813,0.9247787610619468,0.8761061946902655,-0.9734513274336284,9.0,3.0,0.0310739278793334,0.0100928544998168,2,1,0,1,0
68,753,0,PursuitEvasion8x8-v0,PursuitEvasion8x8-v0/klr_k1_seed3_i0-v0,0,2,None,0.9734513274336284,0.0088495575221239,0.9823008849557522,0.9646017699115044,10.0,1.0,0.0235030651092529,0.0017340183258056,2,0,0,2,0
69,753,1,PursuitEvasion8x8-v0,PursuitEvasion8x8-v0/sp_seed2_i1-v0,0,2,None,-0.9734513274336284,0.0088495575221239,-0.9646017699115044,-0.9823008849557522,10.0,1.0,0.0235030651092529,0.0017340183258056,2,2,0,0,0
70,232,0,PursuitEvasion8x8-v0,PursuitEvasion8x8-v0/klrbr_k4_seed0_i0-v0,0,2,None,0.0619469026548672,0.9026548672566372,0.9646017699115044,-0.8407079646017699,11.0,1.0,0.0259517431259155,0.002074122428894,2,1,0,1,0
71,232,1,PursuitEvasion8x8-v0,PursuitEvasion8x8-v0/klr_k3_seed2_i1-v0,0,2,None,-0.0619469026548672,0.9026548672566372,0.8407079646017699,-0.9646017699115044,11.0,1.0,0.0259517431259155,0.002074122428894,2,1,0,1,0
72,943,0,PursuitEvasion8x8-v0,PursuitEvasion8x8-v0/klr_k1_seed4_i0-v0,0,2,None,0.0530973451327433,0.9292035398230089,0.9823008849557522,-0.8761061946902655,9.5,3.5,0.0227658748626709,0.0082011222839355,2,1,0,1,0
73,943,1,PursuitEvasion8x8-v0,PursuitEvasion8x8-v0/klr_k0_seed1_i1-v0,0,2,None,-0.0530973451327433,0.9292035398230089,0.8761061946902655,-0.9823008849557522,9.5,3.5,0.0227658748626709,0.0082011222839355,2,1,0,1,0
74,442,0,PursuitEvasion8x8-v0,PursuitEvasion8x8-v0/klrbr_k4_seed1_i0-v0,0,2,None,0.0575221238938052,0.9336283185840708,0.991150442477876,-0.8761061946902655,12.0,6.0,0.0283370018005371,0.0131771564483642,2,1,0,1,0
75,442,1,PursuitEvasion8x8-v0,PursuitEvasion8x8-v0/klr_k3_seed1_i1-v0,0,2,None,-0.0575221238938052,0.9336283185840708,0.8761061946902655,-0.991150442477876,12.0,6.0,0.0283370018005371,0.0131771564483642,2,1,0,1,0
76,103,0,PursuitEvasion8x8-v0,PursuitEvasion8x8-v0/klr_k1_seed0_i0-v0,0,2,None,0.9778761061946902,0.0132743362831858,0.991150442477876,0.9646017699115044,12.5,3.5,0.039684772491455,0.0146679878234863,2,0,0,2,0
77,103,1,PursuitEvasion8x8-v0,PursuitEvasion8x8-v0/sp_seed0_i1-v0,0,2,None,-0.9778761061946902,0.0132743362831858,-0.9646017699115044,-0.991150442477876,12.5,3.5,0.039684772491455,0.0146679878234863,2,2,0,0,0
78,747,0,PursuitEvasion8x8-v0,PursuitEvasion8x8-v0/klr_k1_seed3_i0-v0,0,2,None,-0.8495575221238938,0.0,-0.8495575221238938,-0.8495575221238938,4.0,0.0,0.009945273399353,0.0005794763565063,2,2,0,0,0
79,747,1,PursuitEvasion8x8-v0,PursuitEvasion8x8-v0/klr_k2_seed4_i1-v0,0,2,None,0.8495575221238938,0.0,0.8495575221238938,0.8495575221238938,4.0,0.0,0.009945273399353,0.0005794763565063,2,0,0,2,0
80,123,0,PursuitEvasion8x8-v0,PursuitEvasion8x8-v0/klr_k2_seed0_i0-v0,0,2,None,0.9778761061946902,0.0132743362831858,0.991150442477876,0.9646017699115044,11.0,2.0,0.0278338193893432,0.0043045282363891,2,0,0,2,0
